year,country,iso,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,total_events,total_affected,total_deaths,total_damage_usd_original,total_damage_usd_adjusted,cpi,spatial_granularity,notes
2000,India,IND,Natural,Hydrological,Flood,Flash flood,3,3252016,329,173000000.0,323438625.0,53.48773668167872,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2000,India,IND,Natural,Hydrological,Flood,Flood (General),1,534035,6,,,53.48773668167872,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2000,India,IND,Natural,Hydrological,Flood,Riverine flood,2,46600000,1751,734500000.0,1373211965.0,53.48773668167872,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2001,India,IND,Natural,Hydrological,Flood,Flash flood,1,2800000,48,26000000.0,47273256.0,54.99938526629536,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2001,India,IND,Natural,Hydrological,Flood,Flood (General),4,7000040,342,129000000.0,234548076.0,54.99938526629536,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2001,India,IND,Natural,Hydrological,Flood,Riverine flood,4,10810000,191,206924000.0,376229660.0,54.99938526629536,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2002,India,IND,Natural,Hydrological,Flood,Flood (General),1,200,20,,,55.87169607405011,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2002,India,IND,Natural,Hydrological,Flood,Riverine flood,5,42008050,715,50772000.0,90872487.0,55.8716960740501,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2003,India,IND,Natural,Hydrological,Flood,Flash flood,2,45,193,,,57.1400352670416,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2003,India,IND,Natural,Hydrological,Flood,Riverine flood,4,7564500,259,169000000.0,295764606.0,57.1400352670416,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2004,India,IND,Natural,Hydrological,Flood,Flash flood,2,100000,193,,,58.66980929334124,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2004,India,IND,Natural,Hydrological,Flood,Riverine flood,4,33106000,1155,2776000000.0,4731564724.0,58.66980929334124,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2005,India,IND,Natural,Hydrological,Flood,Flash flood,1,800000,27,,,60.66033175273918,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2005,India,IND,Natural,Hydrological,Flood,Riverine flood,16,27481571,2102,6190000000.0,10204362260.0,60.66033175273921,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2006,India,IND,Natural,Hydrological,Flood,Flash flood,3,15000,78,,,62.617194781034534,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2006,India,IND,Natural,Hydrological,Flood,Riverine flood,14,7219178,1116,3390000000.0,5413848404.0,62.617194781034534,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2007,India,IND,Natural,Hydrological,Flood,Coastal flood,1,7200000,80,275000000.0,426995668.0,64.40346368476521,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2007,India,IND,Natural,Hydrological,Flood,Flash flood,1,200000,127,,,64.40346368476521,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2007,India,IND,Natural,Hydrological,Flood,Flood (General),1,8,40,,,64.40346368476521,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2007,India,IND,Natural,Hydrological,Flood,Riverine flood,13,30743000,1804,101151000.0,157058323.0,64.40346368476523,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2008,India,IND,Natural,Hydrological,Flood,Flash flood,2,8703740,1117,123000000.0,183922554.0,66.87597417890872,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2008,India,IND,Natural,Hydrological,Flood,Flood (General),1,10278,37,2000000.0,2990611.0,66.87597417890872,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2008,India,IND,Natural,Hydrological,Flood,Riverine flood,5,5275000,436,20000000.0,29906106.0,66.87597417890872,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2009,India,IND,Natural,Hydrological,Flood,Flash flood,1,0,11,,,66.63820107166443,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2009,India,IND,Natural,Hydrological,Flood,Riverine flood,5,5986008,1489,2434000000.0,3652559584.0,66.63820107166443,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2010,India,IND,Natural,Hydrological,Flood,Flash flood,1,12725,196,,,67.73109452917775,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2010,India,IND,Natural,Hydrological,Flood,Riverine flood,7,3759683,494,2149000000.0,3172841093.0,67.73109452917775,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2011,India,IND,Natural,Hydrological,Flood,Riverine flood,7,12004069,608,1657000000.0,2371572157.0,69.86926350886505,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2012,India,IND,Natural,Hydrological,Flood,Riverine flood,6,4248360,279,244000000.0,342143588.0,71.31508773357608,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2013,India,IND,Natural,Hydrological,Flood,Flood (General),1,2000000,80,,,72.35973747892506,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2013,India,IND,Natural,Hydrological,Flood,Riverine flood,4,1419473,6373,1362000000.0,1882262219.0,72.35973747892506,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2014,India,IND,Natural,Hydrological,Flood,Riverine flood,7,5222500,622,16465000000.0,22391131602.0,73.53357700926715,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2015,India,IND,Natural,Hydrological,Flood,Flash flood,2,2322,52,76000000.0,103231691.0,73.62080293658643,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2015,India,IND,Natural,Hydrological,Flood,Flood (General),4,2691250,348,2200000000.0,2988285800.0,73.62080293658643,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2015,India,IND,Natural,Hydrological,Flood,Riverine flood,4,13719887,439,604000000.0,820420283.0,73.62080293658643,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2016,India,IND,Natural,Hydrological,Flood,Flash flood,2,2000000,111,250000000.0,335347192.0,74.54960298643441,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2016,India,IND,Natural,Hydrological,Flood,Flood (General),6,1806000,555,1249000000.0,1675394569.0,74.54960298643441,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2017,India,IND,Natural,Hydrological,Flood,Flash flood,2,4012,35,300000000.0,394023433.0,76.13760370577658,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2017,India,IND,Natural,Hydrological,Flood,Flood (General),6,20532831,936,1817000000.0,2386468593.0,76.13760370577658,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2017,India,IND,Natural,Hydrological,Flood,Riverine flood,1,1735000,75,,,76.13760370577658,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2018,India,IND,Natural,Hydrological,Flood,Flash flood,2,23231728,519,2862480000.0,3669974829.0,77.99726518795474,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2018,India,IND,Natural,Hydrological,Flood,Flood (General),7,75970,191,2500000.0,3205241.0,77.99726518795474,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2019,India,IND,Natural,Hydrological,Flood,Flood (General),5,3070060,2023,10000000000.0,12592748013.0,79.41078460433721,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2020,India,IND,Natural,Hydrological,Flood,Flood (General),5,1485002,2104,11510000000.0,14317632992.0,80.39038300821143,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2021,India,IND,Natural,Hydrological,Flood,Flash flood,1,122,37,,,84.16698295725244,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2021,India,IND,Natural,Hydrological,Flood,Flood (General),8,1324439,1520,3200000000.0,3801965911.0,84.16698295725244,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2022,India,IND,Natural,Hydrological,Flood,Flood (General),3,2101260,2098,4200000000.0,4620324938.0,90.9026974595266,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2023,India,IND,Natural,Hydrological,Flood,Flash flood,1,5,62,3000000.0,3169752.0,94.6446220103845,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2023,India,IND,Natural,Hydrological,Flood,Flood (General),4,10750000,1562,,,94.6446220103845,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2024,India,IND,Natural,Hydrological,Flood,Flash flood,2,3800000,74,,,97.43617561613397,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2024,India,IND,Natural,Hydrological,Flood,Flood (General),4,9007193,211,,,97.43617561613397,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2025,India,IND,Natural,Hydrological,Flood,Flash flood,3,81024,271,,,100.0,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
2025,India,IND,Natural,Hydrological,Flood,Flood (General),3,1843760,134,2200000.0,2200000.0,100.0,National Aggregate (Country-level),EM-DAT standard profile; subnational district coordinates unavailable
